REGION,PROVINCE,CITY,LOCATION,OWNERSHIP_CLASS,Unnamed: 6,NAME OF HOSPITAL,ABC,MEDICAL_DIRECTOR,CLASS,SERVCE CAPABILI TY,CONTACT,EMAIL,FAX,MOBILE,REMARKS,Actual Hospital Name,Mapping_Address,lat,lng
ILOCOS,ILOCOS SUR,Vigan City,"Quirino Blvd., Tamag, Vigan City, Ilocos Sur",GOVT,Province,ILOCOS SUR PROVINCIAL HOSPITAL GABRIELA SILANG,100,Dr. Trina Tabboga- Talaga,General,Level 2,"077-
7227339/7227099
6741309/6741192
loc 109",pho_gabriela@yahoo.com.ph,NaN,NaN,NaN,ILOCOS SUR PROVINCIAL HOSPITAL GABRIELA SILANG,"ILOCOS SUR PROVINCIAL HOSPITAL GABRIELA SILANG, ILOCOS, ILOCOS SUR, Vigan City",17.5535027,120.3797408
ILOCOS,LA UNION,,"Poblacion, Bacnotan, La Union",GOVT,Province,BACNOTAN DISTRICT HOSPITAL,25,Dr. Zenserly D. Pagaduan,General,Level 1,072-607-4044,bdh_bacnotan@yahoo.com,"072-607-
1417",NaN,NaN,BACNOTAN DISTRICT HOSPITAL,"BACNOTAN DISTRICT HOSPITAL, ILOCOS, LA UNION",16.7253771,120.3509459
ILOCOS,LA UNION,,"Bungol, Balaoan, La Union",GOVT,Province,BALAOAN DISTRICT HOSPITAL,25,Dr. Mark Anthony S. Tomboc,General,Level 1,072-603-0280,bldh_balaoan@yahoo.com,"072-603-
0282",NaN,NaN,BALAOAN DISTRICT HOSPITAL,"BALAOAN DISTRICT HOSPITAL, ILOCOS, LA UNION",16.7762214,120.4125226
ILOCOS,LA UNION,,"National Highway, Poblacion Sur, Caba, La Union",GOVT,Province,CABA DISTRICT HOSPITAL,15,Dr. Gretchen F. Aromin,General,Level 1,072-607-0633,cmch_lu1974@yahoo.com,NaN,NaN,NaN,CABA DISTRICT HOSPITAL,"CABA DISTRICT HOSPITAL, ILOCOS, LA UNION",16.4474302,120.378138
ILOCOS,LA UNION,,"Natividad, Naguilian, La Union",GOVT,Province,NAGUILIAN DISTRICT HOSPITAL,25,Dr. Eleanor G. Dacanay,General,Level 1,072-609-1018,naguilian.district.hospital@gmail.com,"072-609-
1853",NaN,NaN,NAGUILIAN DISTRICT HOSPITAL,"NAGUILIAN DISTRICT HOSPITAL, ILOCOS, LA UNION",16.5296753,120.3916891
ILOCOS,LA UNION,,"Concepcion, Rosario, La Union",GOVT,Province,ROSARIO DISTRICT HOSPITAL,25,Dr. Fidel M. Mabalot,General,Level 1,"687-0456 / 687-
9988",rdh_rosariolaunion@yahoo.com,NaN,NaN,NaN,ROSARIO DISTRICT HOSPITAL,"ROSARIO DISTRICT HOSPITAL, ILOCOS, LA UNION",16.2248302,120.4730935
ILOCOS,LA UNION,,"Nazareno, Agoo, La Union",GOVT,Province,LA UNION MEDICAL CENTER,100,Dr. Glenn Ernest M. Fonbuena,General,Level 2,"072-6075541-
45/6075938/6075
938",launionmedicalcenter@ymail.com,NaN,NaN,NaN,LA UNION MEDICAL CENTER,"LA UNION MEDICAL CENTER, ILOCOS, LA UNION",16.346667,120.364038
ILOCOS,LA UNION,San Fernando City,"Barangay Parian, San Fernando City, La Union",GOVT,DOH-Ret,ILOCOS TRAINING AND REGIONAL MEDICAL CENTER,306,Dr. Eduardo M. Badua III,General,Level 3,"072-
8883671/6076418
/6076422/072607 64","itrmc2010@yahoo
.com",NaN,NaN,NaN,ILOCOS TRAINING AND REGIONAL MEDICAL CENTER,"ILOCOS TRAINING AND REGIONAL MEDICAL CENTER, ILOCOS, LA UNION, San Fernando City",16.5912317,120.3178203
ILOCOS,PANGASINAN,,"Bypass Road, Dupac, Asingan, Pangasinan",GOVT,Province,ASINGAN COMMUNITY HOSPITAL,24,Dr. Ferdinand A. Totaan,General,Level 1,75-563-2934,asinhosp@yahoo.com,NaN,NaN,NaN,ASINGAN COMMUNITY HOSPITAL,"ASINGAN COMMUNITY HOSPITAL, ILOCOS, PANGASINAN",16.0168366,120.6747201
ILOCOS,PANGASINAN,,"Bical Norte, Bayambang, Pangasinan",GOVT,Province,BAYAMBANG DISTRICT HOSPITAL,89,Dr. Athena Marie C. Merrera,General,Level 1,75-592-2958,bayambang_districthospital80@yahoo.com,NaN,NaN,50-89,BAYAMBANG DISTRICT HOSPITAL,"BAYAMBANG DISTRICT HOSPITAL, ILOCOS, PANGASINAN",15.8086977,120.443471
ILOCOS,PANGASINAN,,"Sampaloc, Bolinao, Pangasinan",GOVT,Province,BOLINAO COMMUNITY HOSPITAL,25,Dr. Genevieve S. Rivera,General,Level 1,639175089178,bolinao_c_h@ymail.com,NaN,NaN,NaN,BOLINAO COMMUNITY HOSPITAL,"BOLINAO COMMUNITY HOSPITAL, ILOCOS, PANGASINAN",16.2678271,119.878842
ILOCOS,PANGASINAN,,"Bobonot, Dasol, Pangasinan",GOVT,Province,DASOL COMMUNITY HOSPITAL,20,Dr. Eugenie E. Guiang,General,Level 1,NaN,dasolcommunityhospital@gmail.com,NaN,NaN,NaN,DASOL COMMUNITY HOSPITAL,"DASOL COMMUNITY HOSPITAL, ILOCOS, PANGASINAN",15.9619067,119.8939276
ILOCOS,PANGASINAN,,"New Magallanes, Tayug",GOVT,Province,EASTERN PANGASINAN DISTRICT HOSPITAL,150,"Dr. David Ben E. Gurion, FPPS",General,Level 1,(075) 572-43-39,epdh_tayug@yahoo.com,NaN,NaN,NaN,EASTERN PANGASINAN DISTRICT HOSPITAL,"EASTERN PANGASINAN DISTRICT HOSPITAL, ILOCOS, PANGASINAN",16.0195269,120.7423589
ILOCOS,PANGASINAN,,"V. Solis Street, Poblacion, Lingayen, Pangasinan",GOVT,Province,LINGAYEN DISTRICT HOSPITAL,40,Dr. Cipriano C. Fernandez,General,Level 1,075-542-2295,ldh_pang@yahoo.com,"075-662-
0235",NaN,NaN,LINGAYEN DISTRICT HOSPITAL,"LINGAYEN DISTRICT HOSPITAL, ILOCOS, PANGASINAN",16.0183339,120.2293324
ILOCOS,PANGASINAN,,"Baritao, Manaoag, Pangasinan",GOVT,Province,MANAOAG COMMUNITY HOSPITAL,25,Dr. Donn P. Doria,General,Level 1,075-519-4833,manaoagcommunityhospital2013@yahoo.com.ph,NaN,NaN,NaN,MANAOAG COMMUNITY HOSPITAL,"MANAOAG COMMUNITY HOSPITAL, ILOCOS, PANGASINAN",16.036129,120.483128
ILOCOS,PANGASINAN,,"Casilagan, Mangatarem, Pangasinan",GOVT,Province,MANGATAREM DISTRICT HOSPITAL,25,Dr. Nario G. Ferrer,General,Level 1,NaN,mangataremdistricthospital@gmail.com,NaN,NaN,NaN,MANGATAREM DISTRICT HOSPITAL,"MANGATAREM DISTRICT HOSPITAL, ILOCOS, PANGASINAN",15.742149,120.3257063
ILOCOS,PANGASINAN,,"24 Fire Tree Street, Poblacion, Mapandan, Pangasinan",GOVT,Province,MAPANDAN COMMUNITY HOSPITAL,20,Dr. Pablito G. Banta,General,Level 1,075-632-0491,mapandancommhosp@yahoo.com,NaN,NaN,NaN,MAPANDAN COMMUNITY HOSPITAL,"MAPANDAN COMMUNITY HOSPITAL, ILOCOS, PANGASINAN",16.0245328,120.4564081
ILOCOS,PANGASINAN,,"Talogtog, Pozorrubio, Pangasinan",GOVT,Province,POZORRUBIO COMMUNITY HOSPITAL,16,Dr. Alfredo Sy,General,Level 1,075-632-3978,pozmunhospital@gmail.com,"75-566-
4779",NaN,NaN,POZORRUBIO COMMUNITY HOSPITAL,"POZORRUBIO COMMUNITY HOSPITAL, ILOCOS, PANGASINAN",16.1066717,120.5401737
ILOCOS,PANGASINAN,,"Burgos Street, Poblacion West, Umingan, Pangasinan",GOVT,Province,UMINGAN COMMUNITY HOSPITAL,15,Dr. Julian B. Rose Jr.,General,Level 1,075-576-5033,uminganch@yahoo.com,NaN,NaN,NaN,UMINGAN COMMUNITY HOSPITAL,"UMINGAN COMMUNITY HOSPITAL, ILOCOS, PANGASINAN",15.9275595,120.8398001
ILOCOS,PANGASINAN,Alaminos City,"Sabaro, Poblacion, Alaminos City, Pangasinan",GOVT,Province,WESTERN PANGASINAN DISTRICT HOSPITAL,75,Dr. Edgardo C. Espinosa,General,Level 1,075-632-3810,wpdhalaminosnew@yahoo.com,"75-551-
6408",NaN,NaN,WESTERN PANGASINAN DISTRICT HOSPITAL,"WESTERN PANGASINAN DISTRICT HOSPITAL, ILOCOS, PANGASINAN, Alaminos City",16.1654429,119.9861576
ILOCOS,PANGASINAN,Dagupan City,"Arellano St., Dagupan City",GOVT,DOH Ret.,REGION I MEDICAL CENTER,300,Dr. Joseph Roland O. Mejia,General,Level 3,"075-
5158916/5158901","region1mc@gmail
.com",NaN,NaN,NaN,REGION I MEDICAL CENTER,"REGION I MEDICAL CENTER, ILOCOS, PANGASINAN, Dagupan City",16.0485481,120.3415708
ILOCOS,PANGASINAN,San Carlos City,"Bolingit, San Carlos City, Pangasinan",GOVT,Province,PANGASINAN PROVINCIAL HOSPITAL,150,Dr. Aurelio O. Cariño,General,Level 2,075-5322603,pphscgh@yahoo.com,NaN,NaN,NaN,PANGASINAN PROVINCIAL HOSPITAL,"PANGASINAN PROVINCIAL HOSPITAL, ILOCOS, PANGASINAN, San Carlos City",15.954235,120.349795
ILOCOS,PANGASINAN,Urdaneta City,"Dilan Paurido, Urdaneta City, Pangasinan",GOVT,Province,URDANETA DISTRICT HOSPITAL,110,Dr. Maria Vivian A. Villar-Espino,General,Level 1,636-0690,urdanetadistricthospital@gmail.com,NaN,NaN,NaN,URDANETA DISTRICT HOSPITAL,"URDANETA DISTRICT HOSPITAL, ILOCOS, PANGASINAN, Urdaneta City",15.973811,120.5779407
CAGAYAN VALLEY,BATANES,,"Kayhuvokan, Basco, Batanes",GOVT,DOH-RET,BATANES GENERAL HOSPITAL,75,Dr. Jeffrey Antony T. Canceran,General,Level 1,NaN,combataneshospital@gmail.com,NaN,"09989828104
09999924961",NaN,BATANES GENERAL HOSPITAL,"BATANES GENERAL HOSPITAL, CAGAYAN VALLEY, BATANES",20.4500864,121.9704646
,,,"Brgy. Smart, Gonzaga, Cagayan",NaN,NaN,ALFONSO PONCE ENRILE MEMORIAL DISTRICT HOSPITAL,NaN,Dr. Rowena Martina C. Sion,NaN,NaN,NaN,rowenamartina.sion@yahoo.comapemd_hospital_gonzaga@yahoo.com,NaN,NaN,NaN,ALFONSO PONCE ENRILE MEMORIAL DISTRICT HOSPITAL,"ALFONSO PONCE ENRILE MEMORIAL DISTRICT HOSPITAL, , ",18.2577872,121.9968945
CAGAYAN VALLEY,CAGAYAN,,"Toran, Aparri, Cagayan",GOVT,Province,APARRI PROVINCIAL HOSPITAL,50,Dr. Raymond Q. Ruiz,General,Level 1,(078) 377-3207,adh.ph@yahoo.comaparridistricthospital@gmail.com,NaN,9454824050,NaN,APARRI PROVINCIAL HOSPITAL,"APARRI PROVINCIAL HOSPITAL, CAGAYAN VALLEY, CAGAYAN",18.3568451,121.6419871
CAGAYAN VALLEY,CAGAYAN,,"Cabuluan West, Ballesteros, Cagayan",GOVT,Province,BALLESTEROS DISTRICT HOSPITAL,25,Dr. Wilson U. Barcena,General,Level 1,(078) 255-0997,bdhplgu@ymail.comballesterosdistricthospital@gmail.com,NaN,9452462675,NaN,BALLESTEROS DISTRICT HOSPITAL,"BALLESTEROS DISTRICT HOSPITAL, CAGAYAN VALLEY, CAGAYAN",18.417719,121.5010683
CAGAYAN VALLEY,CAGAYAN,,"Ignacio B. Jurado, Lasam, Cagayan",GOVT,Province,LASAM DISTRICT HOSPITAL,25,Dr. Rogil P. Peralta,General,Level 1,NaN,lasamdistricthospital@yahoo.com,NaN,"09158807252
09363974981
09175229619",NaN,LASAM DISTRICT HOSPITAL,"LASAM DISTRICT HOSPITAL, CAGAYAN VALLEY, CAGAYAN",18.0634751,121.6096294
CAGAYAN VALLEY,CAGAYAN,,"Gen. Batalla, Camalaniugan, Cagayan",GOVT,Province,MATILDE A. OLIVAS DISTRICT HOSPITAL,25,Dr. Deo A. Ragonjan,General,Level 1,(078) 377-1041,matildeaolivas@yahoo.com,NaN,9177758988,NaN,MATILDE A. OLIVAS DISTRICT HOSPITAL,"MATILDE A. OLIVAS DISTRICT HOSPITAL, CAGAYAN VALLEY, CAGAYAN",18.2411457,121.6835419
CAGAYAN VALLEY,CAGAYAN,,"Maguilling, Piat, Cagayan",GOVT,Province,NUESTRA SEÑORA DE PIAT DISTRICT HOSPITAL,40,Dr. Presentacion R. Nolasco,General,Level 1,NaN,nspdh01@yahoo.com,NaN,"09175605691
09171592331",NaN,NUESTRA SEÑORA DE PIAT DISTRICT HOSPITAL,"NUESTRA SEÑORA DE PIAT DISTRICT HOSPITAL, CAGAYAN VALLEY, CAGAYAN",17.7755594,121.501408
CAGAYAN VALLEY,CAGAYAN,,"Bulagao, Tuao, Cagayan",GOVT,Province,TUAO DISTRICT HOSPITAL,25,"Dr. Nicasio M. Galano, Jr.",General,Level 1,(078) 255-0997,tdh_pgoc@yahoo.com,NaN,"09778138588
09178996052
09173125706",NaN,TUAO DISTRICT HOSPITAL,"TUAO DISTRICT HOSPITAL, CAGAYAN VALLEY, CAGAYAN",17.750084,121.4516124
CAGAYAN VALLEY,CAGAYAN,Tuguegarao City,"Luna St., Centro 6, Tuguegarao City, Cagayan",GOVT,City,TUGUEGARAO CITY PEOPLE'S GENERAL HOSPITAL,68,Dr. Marcos M. Mallillin,General,Level 1,"(078) 844-1337
(078) 373- 1125",tuguegaraocityPGH@yahoo.com,NaN,NaN,NaN,TUGUEGARAO CITY PEOPLE'S GENERAL HOSPITAL,"TUGUEGARAO CITY PEOPLE'S GENERAL HOSPITAL, CAGAYAN VALLEY, CAGAYAN, Tuguegarao City",17.6129589,121.7295262
CAGAYAN VALLEY,CAGAYAN,Tuguegarao City,"Maharlika Highway, Carig Sur, Tuguegarao City, Cagayan",GOVT,DOH Ret,CAGAYAN VALLEY MEDICAL CENTER,500,Dr. Glenn Mathew G. Baggao,General,Level 3,"078-3020000 /
3043789",cvmcr2@gmail.com,NaN,NaN,NaN,CAGAYAN VALLEY MEDICAL CENTER,"CAGAYAN VALLEY MEDICAL CENTER, CAGAYAN VALLEY, CAGAYAN, Tuguegarao City",17.6565673,121.7466281
CAGAYAN VALLEY,ISABELA,,"Ipil, Echague, Isabela",GOVT,Province,ECHAGUE DISTRICT HOSPITAL,25,Dr. Rhoda Jacquelyn P. Gaffud,General,Level 1,(078) 305-9088,echague_districthospital@yahoo.com,NaN,NaN,NaN,ECHAGUE DISTRICT HOSPITAL,"ECHAGUE DISTRICT HOSPITAL, CAGAYAN VALLEY, ISABELA",16.6897496,121.6436616
CAGAYAN VALLEY,ISABELA,,"Calamagui 2nd, Ilagan, Isabela",GOVT,Province,GOVERNOR FAUSTINO N. DY SR. MEMORIAL HOSPITAL,100,Dr. Nelson P. Paguirigan,General,Level 1,"(078) 624-1295
(078) 624-1688
(078) 624-1734",gfndsmh@yahoo.com.ph,NaN,09054641996,NaN,GOVERNOR FAUSTINO N. DY SR. MEMORIAL HOSPITAL,"GOVERNOR FAUSTINO N. DY SR. MEMORIAL HOSPITAL, CAGAYAN VALLEY, ISABELA",17.132186,121.868816
CAGAYAN VALLEY,ISABELA,,"National Highway, San Antonio, Roxas, Isabela",GOVT,Province,MANUEL A. ROXAS DISTRICT HOSPITAL,50,Dr. Edencita R. Paguirigan,General,Level 1,(078) 642-0152,mardh_rxs@yahoo.com.ph,NaN,9189671998,NaN,MANUEL A. ROXAS DISTRICT HOSPITAL,"MANUEL A. ROXAS DISTRICT HOSPITAL, CAGAYAN VALLEY, ISABELA",17.0855287,121.6176029
CAGAYAN VALLEY,ISABELA,,"Sta. Filomena,San Mariano, Isabela",GOVT,Province,SAN MARIANO COMMUNITY HOSPITAL,10,Dr. Jesus C. Salvador,General,Level 1,NaN,sanmariano_communityhospital@yahoo.comjcs915@yahoo.com,NaN,"09186555500
09273878396",NaN,SAN MARIANO COMMUNITY HOSPITAL,"SAN MARIANO COMMUNITY HOSPITAL, CAGAYAN VALLEY, ISABELA",16.9840274,122.0012141
CAGAYAN VALLEY,ISABELA,,"Ngarag, Cabagan, Isabela",GOVT,Province,MILAGROS ALBANO DISTRICT HOSPITAL,50,Dr. Arlene M. Lazaro,General,Level 1,(078) 325-2069,madh_cabagan@yahoo.com,NaN,"09057747639
09178901320",NaN,MILAGROS ALBANO DISTRICT HOSPITAL,"MILAGROS ALBANO DISTRICT HOSPITAL, CAGAYAN VALLEY, ISABELA",16.9753758,121.8107079
CAGAYAN VALLEY,ISABELA,,"Brgy. 1, Jones, Isabela",GOVT,Municipal,PROSPERO G. BELLO INTEGRATED COMMUNITY HOSPITAL,10,Dr. Joanna Michelle A. Uy,General,Level 1,NaN,pgbich_jones@yahoo.com,NaN,9153114033,NaN,PROSPERO G. BELLO INTEGRATED COMMUNITY HOSPITAL,"PROSPERO G. BELLO INTEGRATED COMMUNITY HOSPITAL, CAGAYAN VALLEY, ISABELA",16.5695633,121.6987474
CAGAYAN VALLEY,ISABELA,Cauayan City,"Rosemarie Reyes St., Cauayan City, Isabela",GOVT,Province,CAUAYAN DISTRICT HOSPITAL,50,Dr. Herrison O. Alejandro,General,Level 1,(078) 260-1120,cdh_isabela@yahoo.com,NaN,9065154352,NaN,CAUAYAN DISTRICT HOSPITAL,"CAUAYAN DISTRICT HOSPITAL, CAGAYAN VALLEY, ISABELA, Cauayan City",16.9185932,121.7683614
CAGAYAN VALLEY,ISABELA,City of Ilagan,"Brgy. Lullutan, City of Ilagan, Isabela",GOVT,City,CITY OF ILAGAN MEDICAL CENTER (new),71,Dr. Herbee M. Barrios,General,Level 1,NaN,NaN,NaN,"09178609193
09662772863",new,CITY OF ILAGAN MEDICAL CENTER (new),"CITY OF ILAGAN MEDICAL CENTER (new), CAGAYAN VALLEY, ISABELA, City of Ilagan",17.1381186,121.8734492
CAGAYAN VALLEY,ISABELA,Santiago City,"Corner Recto Avenue, Zamora St., Rosario, Santiago City, Isabela",GOVT,DOH Ret,SOUTHERN ISABELA MEDICAL CENTER,350,"Dr. Jose Ildefonso B. Costales, Jr.",General,Level 3,078-3050459,southern_isabela@yahoo.com,NaN,NaN,NaN,SOUTHERN ISABELA MEDICAL CENTER,"SOUTHERN ISABELA MEDICAL CENTER, CAGAYAN VALLEY, ISABELA, Santiago City",16.680089,121.546748
CAGAYAN VALLEY,QUIRINO,,"Diduyon, Maddela, Quirino",GOVT,Province,MADDELA DISTRICT HOSPITAL,39,Dr. Ronaldo E. Sanchez,General,Level 1,NaN,"maddeladistricthospital@yahoo.co
m.ph",NaN,"09178650834
09064997805",NaN,MADDELA DISTRICT HOSPITAL,"MADDELA DISTRICT HOSPITAL, CAGAYAN VALLEY, QUIRINO",16.3286801,121.6589478
CAGAYAN VALLEY,QUIRINO,,"National Highway, Mangandingay, Cabarroguis, Quirino",GOVT,Province,QUIRINO PROVINCE MEDICAL CENTER,150,Dr. Robert T. Baguioen,General,Level 1,NaN,"qphhealth@yahoo
.com",NaN,"09175746660
09153203165
09054418066",NaN,QUIRINO PROVINCE MEDICAL CENTER,"QUIRINO PROVINCE MEDICAL CENTER, CAGAYAN VALLEY, QUIRINO",16.5149657,121.5378159
CAGAYAN VALLEY,NUEVA VIZCAYA,,"Malasin, Dupax del Norte, Nueva Vizcaya",GOVT,Province,DUPAX DISTRICT HOSPITAL,17,Dr. Edward B. Gines,General,Level 1,NaN,dupaxdistricthospital@gmail.com,NaN,9171193793,NaN,DUPAX DISTRICT HOSPITAL,"DUPAX DISTRICT HOSPITAL, CAGAYAN VALLEY, NUEVA VIZCAYA",16.3069594,121.1009002
CAGAYAN VALLEY,NUEVA VIZCAYA,,"Pampang, Kayapa, Nueva Vizcaya",GOVT,Province,LT. TIDANG MEMORIAL HOSPITAL,15,Dr. Cristopher G. Magallanes II,General,Level 1,NaN,lt.tidangmemorialhospital2003@gmail.comcrismagallanes28@yahoo.com,NaN,"09278313046
09209283128",NaN,LT. TIDANG MEMORIAL HOSPITAL,"LT. TIDANG MEMORIAL HOSPITAL, CAGAYAN VALLEY, NUEVA VIZCAYA",16.3616919,120.8887911
CAGAYAN VALLEY,NUEVA VIZCAYA,,"Almaguer North,Bambang, Nueva Vizcaya",GOVT,Province,NUEVA VIZCAYA PROVINCIAL HOSPITAL,173,Dr. Arlene I. Jara,General,Level 1,(078) 808-0142,rlnjara@yahoo.comnvprovhospital_05.2006@yahoo.com.ph,NaN,"09228680843
09174142623",NaN,NUEVA VIZCAYA PROVINCIAL HOSPITAL,"NUEVA VIZCAYA PROVINCIAL HOSPITAL, CAGAYAN VALLEY, NUEVA VIZCAYA",16.3703013,121.0995166
CAGAYAN VALLEY,NUEVA VIZCAYA,,"Magsaysay, Bayombong, Nueva Vizcaya",GOVT,DOH Ret,REGION II TRAUMA AND MEDICAL CENTER,306,Dr. Napoleon A. Obana,General,Level 3,"078-8053561 to
64",galindezcirilo114@gmail.com,NaN,NaN,NaN,REGION II TRAUMA AND MEDICAL CENTER,"REGION II TRAUMA AND MEDICAL CENTER, CAGAYAN VALLEY, NUEVA VIZCAYA",16.4830758,121.1342776
CENTRAL LUZON,AURORA,,"Reserva, Baler, Aurora",GOVT,Province,AURORA MEMORIAL HOSPITAL,49,Dr. Vladimir Enriquez,General,Level 1,NaN,NaN,NaN,NaN,NaN,AURORA MEMORIAL HOSPITAL,"AURORA MEMORIAL HOSPITAL, CENTRAL LUZON, AURORA",15.7611892,121.5619103
CENTRAL LUZON,BATAAN,,"San Ramon,Dinalupihan",GOVT,Province,JOSE C. PAYUMO JR. MEMORIAL HOSPITAL,100,Dr. Gena A. Abarra,General,Level 1,(047) 481-1724,g_abara@yahoo.com,NaN,NaN,NaN,JOSE C. PAYUMO JR. MEMORIAL HOSPITAL,"JOSE C. PAYUMO JR. MEMORIAL HOSPITAL, CENTRAL LUZON, BATAAN",14.865328,120.4609135
CENTRAL LUZON,BATAAN,,"Ave. of the Phils, Freeport Area of Bataan",GOVT,Province,MARIVELES DISTRICT HOSPITAL,25,Dr. Hector T. Santos,General,Level 1,(047)612-2335,mdh@bataan.gov.ph,NaN,NaN,from Infirmary to Level 1,MARIVELES DISTRICT HOSPITAL,"MARIVELES DISTRICT HOSPITAL, CENTRAL LUZON, BATAAN",14.4381322,120.4984217
