,REGION,PROVINCE,CITY,LOCATION,OWNERSHIP CLASS.,,NAME OF HOSPITAL,ABC,MEDICAL DIRECTOR/ CHIEF OF HOSPITAL,CLASS,SERVCE CAPABILI TY,CONTACT NOS.,E-MAIL ADDRESS,FAX NO.,MOBILE NO.,REMARKS,Actual Hospital Name
14,ILOCOS,LA UNION,,"Bungol, Balaoan, La Union",GOVT,Province,BALAOAN DISTRICT HOSPITAL,25,Dr. Mark Anthony S. Tomboc,General,Level 1,072-603-0280,bldh_balaoan@ya hoo.com,"072-603-
0282",,,BALAOAN DISTRICT HOSPITAL
15,ILOCOS,LA UNION,,"National Highway, Poblacion Sur, Caba, La Union",GOVT,Province,CABA DISTRICT HOSPITAL,15,Dr. Gretchen F. Aromin,General,Level 1,072-607-0633,cmch_lu1974@ya hoo.com,,,,CABA DISTRICT HOSPITAL
16,ILOCOS,LA UNION,,"Natividad, Naguilian, La Union",GOVT,Province,NAGUILIAN DISTRICT HOSPITAL,25,Dr. Eleanor G. Dacanay,General,Level 1,072-609-1018,naguilian.district. hospital@gmail.c om,"072-609-
1853",,,NAGUILIAN DISTRICT HOSPITAL
17,ILOCOS,LA UNION,,"Concepcion, Rosario, La Union",GOVT,Province,ROSARIO DISTRICT HOSPITAL,25,Dr. Fidel M. Mabalot,General,Level 1,"687-0456 / 687-
9988",rdh_rosariolaunio n@yahoo.com,,,,ROSARIO DISTRICT HOSPITAL
18,ILOCOS,LA UNION,,"Nazareno, Agoo, La Union",GOVT,Province,LA UNION MEDICAL CENTER,100,Dr. Glenn Ernest M. Fonbuena,General,Level 2,"072-6075541-
45/6075938/6075
938",launionmedicalce nter@ymail.com,,,,LA UNION MEDICAL CENTER
19,ILOCOS,LA UNION,San Fernando City,"Barangay Parian, San Fernando City, La Union",GOVT,DOH-Ret,ILOCOS TRAINING AND REGIONAL MEDICAL CENTER,306,Dr. Eduardo M. Badua III,General,Level 3,"072-
8883671/6076418
/6076422/072607 64","itrmc2010@yahoo
.com",,,,ILOCOS TRAINING AND REGIONAL MEDICAL CENTER
20,ILOCOS,PANGASINAN,,"Bypass Road, Dupac, Asingan, Pangasinan",GOVT,Province,ASINGAN COMMUNITY HOSPITAL,24,Dr. Ferdinand A. Totaan,General,Level 1,75-563-2934,asinhosp@yahoo. com,,,,ASINGAN COMMUNITY HOSPITAL
21,ILOCOS,PANGASINAN,,"Bical Norte, Bayambang, Pangasinan",GOVT,Province,BAYAMBANG DISTRICT HOSPITAL,89,Dr. Athena Marie C. Merrera,General,Level 1,75-592-2958,bayambang_distri cthospital80@yah oo.com,,,50-89,BAYAMBANG DISTRICT HOSPITAL
22,ILOCOS,PANGASINAN,,"Sampaloc, Bolinao, Pangasinan",GOVT,Province,BOLINAO COMMUNITY HOSPITAL,25,Dr. Genevieve S. Rivera,General,Level 1,639175089178,bolinao_c_h@ym ail.com,,,,BOLINAO COMMUNITY HOSPITAL
23,ILOCOS,PANGASINAN,,"Bobonot, Dasol, Pangasinan",GOVT,Province,DASOL COMMUNITY HOSPITAL,20,Dr. Eugenie E. Guiang,General,Level 1,,dasolcommunityh ospital@gmail.co m,,,,DASOL COMMUNITY HOSPITAL
24,ILOCOS,PANGASINAN,,"New Magallanes, Tayug",GOVT,Province,EASTERN PANGASINAN DISTRICT HOSPITAL,150,"Dr. David Ben E. Gurion, FPPS",General,Level 1,(075) 572-43-39,epdh_tayug@yah oo.com,,,,EASTERN PANGASINAN DISTRICT HOSPITAL
25,ILOCOS,PANGASINAN,,"V. Solis Street, Poblacion, Lingayen, Pangasinan",GOVT,Province,LINGAYEN DISTRICT HOSPITAL,40,Dr. Cipriano C. Fernandez,General,Level 1,075-542-2295,ldh_pang@yahoo. com,"075-662-
0235",,,LINGAYEN DISTRICT HOSPITAL
26,ILOCOS,PANGASINAN,,"Baritao, Manaoag, Pangasinan",GOVT,Province,MANAOAG COMMUNITY HOSPITAL,25,Dr. Donn P. Doria,General,Level 1,075-519-4833,manaoagcommun ityhospital2013@y ahoo.com.ph,,,,MANAOAG COMMUNITY HOSPITAL
27,ILOCOS,PANGASINAN,,"Casilagan, Mangatarem, Pangasinan",GOVT,Province,MANGATAREM DISTRICT HOSPITAL,25,Dr. Nario G. Ferrer,General,Level 1,,mangataremdistri cthospital@gmail. com,,,,MANGATAREM DISTRICT HOSPITAL
28,ILOCOS,PANGASINAN,,"24 Fire Tree Street, Poblacion, Mapandan, Pangasinan",GOVT,Province,MAPANDAN COMMUNITY HOSPITAL,20,Dr. Pablito G. Banta,General,Level 1,075-632-0491,mapandancom mhosp@yaho o.com,,,,MAPANDAN COMMUNITY HOSPITAL
29,ILOCOS,PANGASINAN,,"Talogtog, Pozorrubio, Pangasinan",GOVT,Province,POZORRUBIO COMMUNITY HOSPITAL,16,Dr. Alfredo Sy,General,Level 1,075-632-3978,pozmunhospital@ gmail.com,"75-566-
4779",,,POZORRUBIO COMMUNITY HOSPITAL
30,ILOCOS,PANGASINAN,,"Burgos Street, Poblacion West, Umingan, Pangasinan",GOVT,Province,UMINGAN COMMUNITY HOSPITAL,15,Dr. Julian B. Rose Jr.,General,Level 1,075-576-5033,uminganch@yaho o.com,,,,UMINGAN COMMUNITY HOSPITAL
31,ILOCOS,PANGASINAN,Alaminos City,"Sabaro, Poblacion, Alaminos City, Pangasinan",GOVT,Province,WESTERN PANGASINAN DISTRICT HOSPITAL,75,Dr. Edgardo C. Espinosa,General,Level 1,075-632-3810,wpdhalaminosne w@yahoo.com,"75-551-
6408",,,WESTERN PANGASINAN DISTRICT HOSPITAL
32,ILOCOS,PANGASINAN,Dagupan City,"Arellano St., Dagupan City",GOVT,DOH Ret.,REGION I MEDICAL CENTER,300,Dr. Joseph Roland O. Mejia,General,Level 3,"075-
5158916/5158901","region1mc@gmail
.com",,,,REGION I MEDICAL CENTER
33,ILOCOS,PANGASINAN,San Carlos City,"Bolingit, San Carlos City, Pangasinan",GOVT,Province,PANGASINAN PROVINCIAL HOSPITAL,150,Dr. Aurelio O. Cariño,General,Level 2,075-5322603,pphscgh@yahoo. com,,,,PANGASINAN PROVINCIAL HOSPITAL
34,ILOCOS,PANGASINAN,Urdaneta City,"Dilan Paurido, Urdaneta City, Pangasinan",GOVT,Province,URDANETA DISTRICT HOSPITAL,110,Dr. Maria Vivian A. Villar-Espino,General,Level 1,636-0690,urdanetadistricth ospital@gmail.co m,,,,URDANETA DISTRICT HOSPITAL
35,CAGAYAN VALLEY,BATANES,,"Kayhuvokan, Basco, Batanes",GOVT,DOH-RET,BATANES GENERAL HOSPITAL,75,Dr. Jeffrey Antony T. Canceran,General,Level 1,,com bataneshospital@ gmail.com,,"09989828104
09999924961",,BATANES GENERAL HOSPITAL
,,,,"Brgy. Smart, Gonzaga, Cagayan",,,ALFONSO PONCE ENRILE MEMORIAL DISTRICT HOSPITAL,,Dr. Rowena Martina C. Sion,,,,rowenamartina.si on@yahoo.com apemd_hospital_g onzaga@yahoo.c om,,,,ALFONSO PONCE ENRILE MEMORIAL DISTRICT HOSPITAL
36,CAGAYAN VALLEY,CAGAYAN,,,GOVT,Province,,25,,General,Level 1,(078) 377-7499,,,9352910900,,
,CAGAYAN VALLEY,CAGAYAN,,"Toran, Aparri, Cagayan",GOVT,Province,APARRI PROVINCIAL HOSPITAL,50,Dr. Raymond Q. Ruiz,General,Level 1,(078) 377-3207,adh.ph@yahoo.co m aparridistricthosp ital@gmail.com,,9454824050,,APARRI PROVINCIAL HOSPITAL
37,,,,,,,,,,,,,,,,,
38,CAGAYAN VALLEY,CAGAYAN,,"Cabuluan West, Ballesteros, Cagayan",GOVT,Province,BALLESTEROS DISTRICT HOSPITAL,25,Dr. Wilson U. Barcena,General,Level 1,(078) 255-0997,bdhplgu@ymail.c om ballesterosdistrict hospital@gmail.c om,,9452462675,,BALLESTEROS DISTRICT HOSPITAL
39,CAGAYAN VALLEY,CAGAYAN,,"Ignacio B. Jurado, Lasam, Cagayan",GOVT,Province,LASAM DISTRICT HOSPITAL,25,Dr. Rogil P. Peralta,General,Level 1,,lasamdistricthosp ital@yahoo.com,,"09158807252
09363974981
09175229619",,LASAM DISTRICT HOSPITAL
40,CAGAYAN VALLEY,CAGAYAN,,"Gen. Batalla, Camalaniugan, Cagayan",GOVT,Province,MATILDE A. OLIVAS DISTRICT HOSPITAL,25,Dr. Deo A. Ragonjan,General,Level 1,(078) 377-1041,matildeaolivas@y ahoo.com,,9177758988,,MATILDE A. OLIVAS DISTRICT HOSPITAL
41,CAGAYAN VALLEY,CAGAYAN,,"Maguilling, Piat, Cagayan",GOVT,Province,NUESTRA SEÑORA DE PIAT DISTRICT HOSPITAL,40,Dr. Presentacion R. Nolasco,General,Level 1,,nspdh01@yahoo. com,,"09175605691
09171592331",,NUESTRA SEÑORA DE PIAT DISTRICT HOSPITAL
42,CAGAYAN VALLEY,CAGAYAN,,"Bulagao, Tuao, Cagayan",GOVT,Province,TUAO DISTRICT HOSPITAL,25,"Dr. Nicasio M. Galano, Jr.",General,Level 1,(078) 255-0997,tdh_pgoc@yahoo. com,,"09778138588
09178996052
09173125706",,TUAO DISTRICT HOSPITAL
43,CAGAYAN VALLEY,CAGAYAN,Tuguegarao City,"Luna St., Centro 6, Tuguegarao City, Cagayan",GOVT,City,TUGUEGARAO CITY PEOPLE'S GENERAL HOSPITAL,68,Dr. Marcos M. Mallillin,General,Level 1,"(078) 844-1337
(078) 373- 1125",tuguegaraocityPG H@yahoo.com,,,,TUGUEGARAO CITY PEOPLE'S GENERAL HOSPITAL
44,CAGAYAN VALLEY,CAGAYAN,Tuguegarao City,"Maharlika Highway, Carig Sur, Tuguegarao City, Cagayan",GOVT,DOH Ret,CAGAYAN VALLEY MEDICAL CENTER,500,Dr. Glenn Mathew G. Baggao,General,Level 3,"078-3020000 /
3043789",cvmcr2@gmail.co m,,,,CAGAYAN VALLEY MEDICAL CENTER
45,CAGAYAN VALLEY,ISABELA,,"Ipil, Echague, Isabela",GOVT,Province,ECHAGUE DISTRICT HOSPITAL,25,Dr. Rhoda Jacquelyn P. Gaffud,General,Level 1,(078) 305-9088,echague_districth ospital@yahoo.co m,,,,ECHAGUE DISTRICT HOSPITAL
46,CAGAYAN VALLEY,ISABELA,,"Calamagui 2nd, Ilagan, Isabela",GOVT,Province,GOVERNOR FAUSTINO N. DY SR. MEMORIAL HOSPITAL,100,Dr. Nelson P. Paguirigan,General,Level 1,"(078) 624-1295
(078) 624-1688
(078) 624-1734",gfndsmh@yahoo. com.ph,,09054641996,,GOVERNOR FAUSTINO N. DY SR. MEMORIAL HOSPITAL
47,CAGAYAN VALLEY,ISABELA,,"National Highway, San Antonio, Roxas, Isabela",GOVT,Province,MANUEL A. ROXAS DISTRICT HOSPITAL,50,Dr. Edencita R. Paguirigan,General,Level 1,(078) 642-0152,mardh_rxs@yaho o.com.ph,,9189671998,,MANUEL A. ROXAS DISTRICT HOSPITAL
48,CAGAYAN VALLEY,ISABELA,,"Sta. Filomena,San Mariano, Isabela",GOVT,Province,SAN MARIANO COMMUNITY HOSPITAL,10,Dr. Jesus C. Salvador,General,Level 1,,sanmariano_com munityhospital@y ahoo.com jcs915@yahoo.co m,,"09186555500
09273878396",,SAN MARIANO COMMUNITY HOSPITAL
49,CAGAYAN VALLEY,ISABELA,,"Ngarag, Cabagan, Isabela",GOVT,Province,MILAGROS ALBANO DISTRICT HOSPITAL,50,Dr. Arlene M. Lazaro,General,Level 1,(078) 325-2069,madh_cabagan@y ahoo.com,,"09057747639
09178901320",,MILAGROS ALBANO DISTRICT HOSPITAL
50,CAGAYAN VALLEY,ISABELA,,"Brgy. 1, Jones, Isabela",GOVT,Municipal,PROSPERO G. BELLO INTEGRATED COMMUNITY HOSPITAL,10,Dr. Joanna Michelle A. Uy,General,Level 1,,pgbich_jones@ya hoo.com,,9153114033,,PROSPERO G. BELLO INTEGRATED COMMUNITY HOSPITAL
51,CAGAYAN VALLEY,ISABELA,Cauayan City,"Rosemarie Reyes St., Cauayan City, Isabela",GOVT,Province,CAUAYAN DISTRICT HOSPITAL,50,Dr. Herrison O. Alejandro,General,Level 1,(078) 260-1120,cdh_isabela@yah oo.com,,9065154352,,CAUAYAN DISTRICT HOSPITAL
52,CAGAYAN VALLEY,ISABELA,City of Ilagan,"Brgy. Lullutan, City of Ilagan, Isabela",GOVT,City,CITY OF ILAGAN MEDICAL CENTER (new),71,Dr. Herbee M. Barrios,General,Level 1,,,,"09178609193
09662772863",new,CITY OF ILAGAN MEDICAL CENTER (new)
53,CAGAYAN VALLEY,ISABELA,Santiago City,"Corner Recto Avenue, Zamora St., Rosario, Santiago City, Isabela",GOVT,DOH Ret,SOUTHERN ISABELA MEDICAL CENTER,350,"Dr. Jose Ildefonso B. Costales, Jr.",General,Level 3,078-3050459,southern_isabela @yahoo.com,,,,SOUTHERN ISABELA MEDICAL CENTER
54,CAGAYAN VALLEY,QUIRINO,,"Diduyon, Maddela, Quirino",GOVT,Province,MADDELA DISTRICT HOSPITAL,39,Dr. Ronaldo E. Sanchez,General,Level 1,,"maddeladistrictho spital@yahoo.co
m.ph",,"09178650834
09064997805",,MADDELA DISTRICT HOSPITAL
55,CAGAYAN VALLEY,QUIRINO,,"National Highway, Mangandingay, Cabarroguis, Quirino",GOVT,Province,QUIRINO PROVINCE MEDICAL CENTER,150,Dr. Robert T. Baguioen,General,Level 1,,"qphhealth@yahoo
.com",,"09175746660
09153203165
09054418066",,QUIRINO PROVINCE MEDICAL CENTER
56,CAGAYAN VALLEY,NUEVA VIZCAYA,,"Malasin, Dupax del Norte, Nueva Vizcaya",GOVT,Province,DUPAX DISTRICT HOSPITAL,17,Dr. Edward B. Gines,General,Level 1,,dupaxdistricthosp ital@gmail.com,,9171193793,,DUPAX DISTRICT HOSPITAL
57,CAGAYAN VALLEY,NUEVA VIZCAYA,,"Pampang, Kayapa, Nueva Vizcaya",GOVT,Province,LT. TIDANG MEMORIAL HOSPITAL,15,Dr. Cristopher G. Magallanes II,General,Level 1,,lt.tidangmemorial hospital2003@gm ail.com crismagallanes28 @yahoo.com,,"09278313046
09209283128",,LT. TIDANG MEMORIAL HOSPITAL
58,CAGAYAN VALLEY,NUEVA VIZCAYA,,"Almaguer North,Bambang, Nueva Vizcaya",GOVT,Province,NUEVA VIZCAYA PROVINCIAL HOSPITAL,173,Dr. Arlene I. Jara,General,Level 1,(078) 808-0142,rlnjara@yahoo.co m nvprovhospital_0 5.2006@yahoo.co m.ph,,"09228680843
09174142623",,NUEVA VIZCAYA PROVINCIAL HOSPITAL
59,CAGAYAN VALLEY,NUEVA VIZCAYA,,"Magsaysay, Bayombong, Nueva Vizcaya",GOVT,DOH Ret,REGION II TRAUMA AND MEDICAL CENTER,306,Dr. Napoleon A. Obana,General,Level 3,"078-8053561 to
64",galindezcirilo114 @gmail.com,,,,REGION II TRAUMA AND MEDICAL CENTER
,,,,,,,,,,,,,auroramemhos@ gmail.com,,9399222819,from Infirmary to Level 1,
60,CENTRAL LUZON,AURORA,,"Reserva, Baler, Aurora",GOVT,Province,AURORA MEMORIAL HOSPITAL,49,Dr. Vladimir Enriquez,General,Level 1,,,,,,AURORA MEMORIAL HOSPITAL
61,CENTRAL LUZON,BATAAN,,"San Ramon,Dinalupihan",GOVT,Province,JOSE C. PAYUMO JR. MEMORIAL HOSPITAL,100,Dr. Gena A. Abarra,General,Level 1,(047) 481-1724,g_abara@yahoo.c om,,,,JOSE C. PAYUMO JR. MEMORIAL HOSPITAL
62,CENTRAL LUZON,BATAAN,,"Ave. of the Phils, Freeport Area of Bataan",GOVT,Province,MARIVELES DISTRICT HOSPITAL,25,Dr. Hector T. Santos,General,Level 1,(047)612-2335,mdh@bataan.gov. ph,,,from Infirmary to Level 1,MARIVELES DISTRICT HOSPITAL
63,CENTRAL LUZON,BATAAN,,"Lourdes Street Ma.Fe Subd., Orani",GOVT,Province,ORANI DISTRICT HOSPITAL,45,Dr. Hector T. Santos,General,Level 1,(047) 237-0757,odhbataan@yaho o.com,,,,ORANI DISTRICT HOSPITAL
64,CENTRAL LUZON,BATAAN,Balanga City,"Manahan Street, Tenejero, Balanga City, Bataan",GOVT,DOH Ret.,"BATAAN GENERAL HOSPITAL
AND MEDICAL CENTER ( formerly BATAAN PROVINCIAL HOSPITAL)",417,"Dr. Glory V. Baltazar, Mph, Mha, Cese, Medical Center Chief",General,Level 3,"047-2371274 loc
210",bgh_bataan2005@ yahoo.com,,,inc.. In ABC  from 264 to 417,"BATAAN GENERAL HOSPITAL
AND MEDICAL CENTER ( formerly BATAAN PROVINCIAL HOSPITAL)"
65,CENTRAL LUZON,BULACAN,,"Carpa Vilage,Sabang, Baliuag",GOVT,Province,BALIUAG  DISTRICT HOSPITAL,75,Dr. Angelito D. Trinidad,General,Level 1,"(044) 766-2364/
2338",baliuagdistrict@y ahoo.com,,,,BALIUAG  DISTRICT HOSPITAL
66,CENTRAL LUZON,BULACAN,,"Caniogan,Calumpit",GOVT,Province,CALUMPIT DISTRICT HOSPITAL,25,Dr. Marietta M. Katipunan,General,Level 1,(044) 202-4415,"cdh@bulacan.gov
.ph",,,,CALUMPIT DISTRICT HOSPITAL
67,CENTRAL LUZON,BULACAN,,"Toma Cruz St. Sto. Nino, Hagonoy, Bulacan",GOVT,Province,EMILIO G. PEREZ MEMORIAL HOSPITAL,50,Dr. Gerardo C. Morales,General,Level 1,044 794 4370,egpdh@yahoo.co m,,,,EMILIO G. PEREZ MEMORIAL HOSPITAL
68,CENTRAL LUZON,BULACAN,,"Bagumbayan,Bulacan,Bula can",GOVT,Province,GREGORIO DEL PILAR DISTRICT HOSPITAL,25,Dr. Roselle J. Acob,General,Level 1,(044) 760 3088,gdpdh@bulacan.g ov.ph,"(044) 792-
2920",,,GREGORIO DEL PILAR DISTRICT HOSPITAL
69,CENTRAL LUZON,BULACAN,,"Mun. Compound Pob.
,Norzagaray",GOVT,Municipal,NORZAGARAY MUNICIPAL HOSPITAL,25,Dr. Joselito C. Santiago,General,Level 1,0927-2444-555,joselitocsantiago @yahoo.com,,,,NORZAGARAY MUNICIPAL HOSPITAL
70,CENTRAL LUZON,BULACAN,,"Tabe, Guiguinto, Bulacan",GOVT,Municipal,OSPITAL NG GUIGUINTO,25,Dr. Caesar H. Mejia,General,Level 1,(044) 760-7776,"ospitalgto@gmail.
com",,,,OSPITAL NG GUIGUINTO
71,CENTRAL LUZON,BULACAN,,"Poblacion, Sta.Maria",GOVT,Province,ROGACIANO M. MERCADO MEMORIAL HOSPITAL,150,Dr. David Ranland M. Domingo,General,Level 1,044 641 3038,rmmmh@bulacan. gov.ph,,,,ROGACIANO M. MERCADO MEMORIAL HOSPITAL
72,CENTRAL LUZON,BULACAN,,"Sta. Rita old, San Miguel",GOVT,Province,SAN MIGUEL DISTRICT HOSPITAL,50,Dr. Edwin P. Tecson,General,Level 1,"(044) 678-2070/
764-0130",sanmiguel_distric thospital@yahoo. com,,,,SAN MIGUEL DISTRICT HOSPITAL
73,CENTRAL LUZON,BULACAN,Malolos City,"Mojon Road, Malolos City, Bulacan",GOVT,Province,BULACAN MEDICAL CENTER,300,Dr. Hjordis Marushka B. Celis,General,Level 3,044-7910630,pho_bulacan@ya hoo.com,,,,BULACAN MEDICAL CENTER
74,CENTRAL LUZON,BULACAN,San Jose del Monte City,"Bagong Buhay I, San Jose del Monte City",GOVT,Municipal,OSPITAL NG LUNGSOD NG SAN JOSE DEL MONTE,90,Dr. Catherine Misoles Beltran,General,Level 1,(044) 905- 2682/280,evelynbrigino@ya hoo.com,,,,OSPITAL NG LUNGSOD NG SAN JOSE DEL MONTE
75,CENTRAL LUZON,NUEVA ECIJA,,"De Lara Street, Brgy Curva, Bongabon, N.E.",GOVT,Province,BONGABON DISTRICT HOSPITAL,29,Dr. Gloria Borre- Unciano,General,Level 1,,bongabondistrict hospital - ne@y.c.ph,,"09472188421/09089
844230",,BONGABON DISTRICT HOSPITAL
76,CENTRAL LUZON,NUEVA ECIJA,,"Maestrang Kikay, Talavera, N.E.",GOVT,DOH-RET,TALAVERA GENERAL HOSPITAL (DR. PJGMRMC TALAVERA EXTENSION HOSPITAL),53,Dr. Ma. Isabel S. Gallardo,General,Level 1,044 940 7990,teh_talavera@yah oo.com,"(044) 940-
5945",,,TALAVERA GENERAL HOSPITAL (DR. PJGMRMC TALAVERA EXTENSION HOSPITAL)
77,CENTRAL LUZON,NUEVA ECIJA,,"Bayanihan, Gapan",GOVT,Province,GAPAN DISTRICT HOSPITAL,25,"Dr. Antonio G. Duque, OIC",General,Level 1,044 958 4834,gapandistricthosp ital@gmail.com,,,50-25,GAPAN DISTRICT HOSPITAL
78,CENTRAL LUZON,NUEVA ECIJA,,"Pacac, Guimba, Nueva Ecija",GOVT,Province,GUIMBA DISTRICT HOSPITAL,17,Dr. Nenita S. San Jose,General,Level 1,0922 840 2628,guimbadistricthos pital@yahoo.com or @y.c,,,,GUIMBA DISTRICT HOSPITAL
79,CENTRAL LUZON,NUEVA ECIJA,,"San Mariano,San Antonio",GOVT,Province,SAN ANTONIO DISTRICT HOSPITAL,41,Dr. Adora H. Cruz,General,Level 1,044- 333 3313,sanantoniodistrict hospital@yahoo.c om,,09122360367,,SAN ANTONIO DISTRICT HOSPITAL
80,CENTRAL LUZON,NUEVA ECIJA,,"Prov. Rd., Pulong Bule, Sto. Domingo",GOVT,Province,STO. DOMINGO DISTRICT HOSPITAL,25,Dr. Darwin S. Panahon,General,Level 1,,stodomingodistric thospital@yahoo. com,,09175532928/0925 7273271,,STO. DOMINGO DISTRICT HOSPITAL
81,CENTRAL LUZON,NUEVA ECIJA,Cabanatuan City,"Maharlika Hi-way,Daan Sarile,",GOVT,Province,E.L. JOSON MEMORIAL HOSPITAL,180,"Dr. Augusto F. Abeleda, Jr.",General,Level 1,(044) 600-5233,eljmemorialhospit al@gmail.com,,,,E.L. JOSON MEMORIAL HOSPITAL
82,CENTRAL LUZON,NUEVA ECIJA,Cabanatuan City,"Maharlika Hi-way, Cabanatuan City, N.E.",GOVT,City,MV GALLEGO CABANATUAN CITY GENERAL HOSPITAL,76,Dr. Benedicto S. Joson Jr.,General,Level 1,(044) 958-9773,mvgccgh01@yaho o.com,"(044) 958-
9707",,,MV GALLEGO CABANATUAN CITY GENERAL HOSPITAL
83,CENTRAL LUZON,NUEVA ECIJA,Cabanatuan City,"Mabini Street, Cabanatuan City",GOVT,DOH-Ret,DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER,400,Dr. Huberto F. Lapuz,General,Level 3,044-4639937,dr_hubertolapuz @yahoo.com,,,,DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER
84,CENTRAL LUZON,NUEVA ECIJA,San Jose City,"Maharlika Hi-way, Brgy.Malasin, San Jose City",GOVT,Province,SAN JOSE CITY GENERAL HOSPITAL,50,Dr. Joseph L. Navallo,General,Level 1,(044) 511-3087,sanjosegenhosp @yahoo.com,,,,SAN JOSE CITY GENERAL HOSPITAL
