REGION,PROVINCE,MUNICIPALITY / CITY,NAME OF FACILITY,OWNERSHIP (PUBLIC / PRIVATE),TYPE OF TESTING,LICENSE VALIDITY
NCR,Metro Manila,Quezon City,University of the East Ramon Magsaysay Memorial Medical Center (UERM),PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Makati City,Health Metrics Inc.,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Makati City,IOM- Manila Health Centre Laboratory,PRIVATE,Cartridge - Based PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Quezon City,PNP General Hospital,PUBLIC,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Las Pinas City,QR Medical Laboratories Inc. (VitaCare),PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Quezon City,Quezon City Molecular Diagnostics Laboratory,PUBLIC,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Parañaque City,South Super Highway Molecular Diagnostic Laboratory,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Marikina City,Manila Healthtek Inc.,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Quezon City,Biopath Clinical Diagnostics Inc. (E. Rodriguez),PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Quezon City,Biopath Clinical Diagnostics Inc. (E. Rodriguez),PRIVATE,Cartridge - Based PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Pasig City,Rizal Medical Center,PUBLIC,Cartridge - Based PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Quezon City,Kairos Diagnostics Laboratory,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,City of Manila,Philippine General Hospital (PGH),PUBLIC,Cartridge - Based PCR,01/01/22 - 12/31/22
NCR,Metro Manila,City of Manila,Manila Diagnostic Center for OFW Inc.,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Parañaque City,"Interpharma Solutions Philippines, Inc.",PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,City of Manila,El Roi Medical Clinic & Diagnostic Center Inc.,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Marikina City,Amang Rodriguez Memorial Medical Center,PUBLIC,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Marikina City,Amang Rodriguez Memorial Medical Center,PUBLIC,Cartridge - Based PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Quezon City,Hero Laboratories,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Taguig City,Lifecore Bio Integrative Inc.,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Muntinlupa City,Ospital ng Muntinlupa,PUBLIC,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,City of Manila,"Supercare Medical Services, Inc.",PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Pasay City,JT Cenica Medical Health System,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Quezon City,New World Diagnostics Inc. Premium Medical Branch,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Las Piñas City,A Star Laboratories,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Quezon City,Philippine National Police Crime Laboratory (PNP Crime Lab.),PUBLIC,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,San Juan City,Cardinal Santos Medical Center,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Quezon City,University of the Philippines - PGH-MRL,PUBLIC,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Pasay City,Philippine Airport Diagnostic Laboratory,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,City of Manila,"Ermita Molecular Diagnostic Laboratory, Inc.",PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,City of Manila,Intramuros Molecular Laboratory Inc.,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,City of Manila,"Olayn Medical Laboratory, Inc",PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Caloocan City,Caloocan City North Medical Center,PUBLIC,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Makati City,PCR MED Molecular Laboratory,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,City of Manila,Jose R. Reyes Memorial Medical Center,PUBLIC,Cartridge - Based PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Mandaluyong City,Healthway Medical,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Quezon City,Victoriano Luna Medical Center - (AFIRMS),PUBLIC,Cartridge - Based PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Quezon City,"F.Y. Manalo Medical Foundation, Inc",PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Parañaque City,Ospital ng Parañaque District II,PUBLIC,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Pasig City,The Medical City - Ortigas,PRIVATE,Cartridge - Based PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Pasay City,Marilao Medical and Diagnostic Clinic,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Makati City,Al Molecular Diagnostic Laboratory,PRIVATE,Cartridge - Based PCR,01/01/22 - 12/31/22
NCR,Metro Manila,City of Manila,Chinese General Hospital,PRIVATE,Cartridge - Based PCR,01/08/22 - 12/31/22
NCR,Metro Manila,City of Manila,"Olayn Medical Laboratory, Inc",PRIVATE,Cartridge - Based PCR,01/01/22 - 12/31/22
NCR,Metro Manila,City of Manila,Philippine Medical Diagnostics and Laboratory Center Corporation (PhilMed),PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,City of Manila,PSG Station Hospital Molecular Laboratory,PUBLIC,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Quezon City,Ateneo Molecular Pathology Laboratory,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Pasig City,New World Diagnostics Inc. Premium Medical Branch,PRIVATE,Cartridge - Based PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Quezon City,Quirino Memorial Medical Center,PUBLIC,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Pasay City,Heartland Medical and Diagnostic Center,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,City of Manila,Truhealth Diagnostics Center,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Quezon City,Metro North Medical Center and Hospital Inc.,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,San Juan City,Cardinal Santos Medical Center,PRIVATE,Cartridge - Based PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Valenzuela City,Allied Care Expert - Valenzuela,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Marikina City,Marikina Valley Medical Center,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Taguig City,"Medical Center of Taguig City, Inc.",PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Parañaque City,"Medical Center Paranaque, Inc.",PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Quezon City,Best Diagnostic Corporation,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Quezon City,Hi-Precision Diagnostic Center,PRIVATE,Cartridge - Based PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Quezon City,Kairos Diagnostics Laboratory,PRIVATE,Cartridge - Based PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Pasay City,Philippine Airport Diagnostic Laboratory,PRIVATE,Cartridge - Based PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Quezon City,National Childrens Hospital,PUBLIC,Cartridge - Based PCR,01/01/22 - 12/31/22
NCR,Metro Manila,City of Manila,El Roi Medical Clinic & Diagnostic Center Inc.,PRIVATE,Cartridge - Based PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Quezon City,Be Safe MD. Inc,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,City of Manila,"Medical Center Manila, Inc",PRIVATE,Cartridge - Based PCR,01/01/22 - 12/31/22
NCR,Metro Manila,City of Manila,Dr. Jose Fabella Memorial Hospital,PUBLIC,Cartridge - Based PCR,01/01/22 - 12/31/22
NCR,Metro Manila,City of Manila,Dr. Jose Fabella Memorial Hospital,PUBLIC,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Mandaluyong City,Detoxicare Molecular Diagnostics Laboratory,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Mandaluyong City,Detoxicare Molecular Diagnostics Laboratory,PRIVATE,Cartridge - Based PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Quezon City,East Avenue Medical Center,PUBLIC,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Parañaque City,"Medical Center of Paranaque, Inc.",PRIVATE,Cartridge - Based PCR,01/01/22 - 12/31/22
NCR,Metro Manila,City of Manila,Bureau of Quarantine,PUBLIC,Cartridge - Based PCR,01/01/22 - 12/31/22
NCR,Metro Manila,City of Manila,Allied Medical and Molecular Laboratory Corp.,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,City of Manila,South Super Highway Biomedical Laboratories Inc.,PRIVATE,rRT PCR,12/31/22
NCR,Metro Manila,City of Manila,AC Molecular Diagnostic Laboratory,PRIVATE,rRT PCR,02/16/22 - 12/31/22
NCR,Metro Manila,Parañaque City,Kairos Diagnostics Laboratory,PRIVATE,rRT PCR,01/01/22 - 12/31/22
NCR,Metro Manila,Quezon City,Be Safe MD. Inc,PRIVATE,Cartridge - Based PCR,12/31/22
Region 1,La Union,San Fernando City,Ilocos Training and Regional Medical Center,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 1,La Union,San Fernando City,Ilocos Training and Regional Medical Center,PUBLIC,Cartridge - Based PCR,01/01/22 - 12/31/22
Region 1,Pangasinan,Dagupan City,Region 1 Medical Center,PUBLIC,Cartridge - Based PCR,01/01/22 - 12/31/22
Region 1,Pangasinan,Dagupan City,"Dagupan Doctors Villaflor Memorial Hospital, Inc.",PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 1,Ilocos Norte,Batac City,Mariano Marcos Memorial Hospital Medical Center,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 1,Ilocos Norte,Batac City,Mariano Marcos Memorial Hospital Medical Center,PUBLIC,Cartridge - Based PCR,01/01/22 - 12/31/22
Region 1,Pangasinan,San Carlos City,Pangasinan Molecular Diagnostic Laboratory,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 1,Pangasinan,Dagupan City,Region 1 Medical Center,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 1,Pangasinan,Municipality of Villasis,Metro Pangasinan Molecular Laboratory,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 1,Pangasinan,Municipality of Tayug,Tayug Family Hospital,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 1,Pangasinan,Dagupan City,Marilao Medical and Diagnostic Clinic,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 1,La Union,San Fernando City,Lorma Medical Center,PRIVATE,rRT PCR,01/10/22 - 12/31/22
Region 1,La Union,San Fernando City,Lorma Medical Center,PRIVATE,Cartridge - Based PCR,03/07/22 - 12/31/22
Region 1,Ilocos Sur,Vigan City,Ilocos Sur Provincial Hospital Gabriela Silang,PUBLIC,rRT PCR,12/31/22
Region 2,Cagayan,Tuguegarao City,Cagayan Valley CHD TB Reference Laboratory ( GeneXpert),PUBLIC,Cartridge - Based PCR,01/01/22 - 12/31/22
Region 2,Cagayan,Tuguegarao City,Cagayan Valley Medical Center Molecular Laboratory,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 2,Isabela,Santiago City,Southern Isabela Medical Center Molecular Diagnostic & Research Laboratory (SIMC - MDRL),PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 2,Isabela,Ilagan City,San Antonio City of Ilagan Hospital,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 2,Isabela,Ilagan City,Philippine Red Cross Isabela Molecular Laboratory,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 3,Pampanga,San Fernando City,Jose B. Lingad Memorial General Hospital,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 3,Bataan,Balanga City,Bataan General Hospital and Medical Center,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 3,Bataan,Balanga City,Bataan General Hospital and Medical Center,PUBLIC,Cartridge - Based PCR,01/01/22 - 12/31/22
Region 3,Pampanga,San Fernando City,Green City Medical Center,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 3,Zambales,Municipality Subic,Philippine Red Cross - Logistics and Training Center,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 3,Pampanga,Mabalacat City,Philippine Red Cross - Clark Molecular Laboratory,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 3,Bulacan,San Jose Del Monte City,Qualimed Hospital - San Jose Del Monte,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 3,Bulacan,Malolos City,Bulacan Medical Center,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 3,Bulacan,Malolos City,Bulacan Medical Center (GeneXpert),PUBLIC,Cartridge - Based PCR,01/01/22 - 12/31/22
Region 3,Tarlac,Tarlac City,Central Luzon Doctor's Hospital Inc.,PRIVATE,Cartridge - Based PCR,01/01/22 - 12/31/22
Region 3,Bulacan,Municipality of Bucaue,Marilao Medical and Diagnostic Clinic,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 3,Bulacan,Malolos City,Graman Medical & Maternity Hospital Inc Molecular Laboratory,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 3,Tarlac,Tarlac City,Tarlac Provincial Hospital,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 3,Tarlac,Tarlac City,Tarlac Provincial Hospital - Molecular Pathology Laboratory,PUBLIC,Cartridge - Based PCR,01/01/22 - 12/31/22
Region 3,Pampanga,San Fernando City,Our Lady of Mt. Carmel Medical Center Molecular Laboratory,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 3,Zambales,Municipality of Iba,President Ramon Magsaysay Memorial Hospital,PUBLIC,Cartridge - Based PCR,01/01/22 - 12/31/22
Region 3,Pampanga,San Fernando City,Jose B. Lingad Memorial Hospital,PUBLIC,Cartridge - Based PCR,01/01/22 - 12/31/22
Region 3,Pampanga,Mabalacat City,The Medical City Clark Inc.,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 3,Bataan,Municipality of Mariveles,Mariveles District Hospital,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 3,Bulacan,Municipality of Sta. Maria,Multi-Lifecare Foundation Molecular Laboratory,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 3,Bataan,Municipality of Mariveles,Mariveles District Hospital,PUBLIC,Cartridge - Based PCR,01/01/22 - 12/31/22
Region 3,Nueva Ecija,Cabanatuan City,Dr. Paulino J. Garcia Memorial Research and Medical Center,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 3,Bulacan,San Jose Del Monte City,Skyline Hospital and Medical Center,PRIVATE,Cartridge - Based PCR,01/01/22 - 12/31/22
Region 3,Zambales,Olongapo City,Olongapo City Molecular Diagnostic Laboratory,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 3,Pampanga,Municipality of Guagua,Pampanga Medical Specialist Hospital,PRIVATE,Cartridge - Based PCR,01/01/22 - 12/31/22
Region 3,Pampanga,San Fernando City,Mother Teresa of Calcutta Medical Center,PRIVATE,rRT PCR,01/07/22 - 12/31/22
Region 3,Pampanga,San Fernando City,Mother Teresa of Calcutta Medical Center,PRIVATE,Cartridge - Based PCR,01/07/22 - 12/31/22
Region 3,Pampanga,Municipality of Guagua,Pampanga Molecular Laboratory,PRIVATE,rRT PCR,12/31/22
Region 3,Pampanga,Municipality of Apalit,Pampanga Premier Medical Center,PRIVATE,Cartridge - Based PCR,02/15/22 - 12/31/22
Region 3,Nueva Ecija,Cabanatuan City,Cabanatuan City M.V. Gallego General Hospital,PUBLIC,rRT PCR,12/31/22
Region 3,Bulacan,Malolos City,Graman Medical & Maternity Hospital Inc Molecular Laboratory,PRIVATE,Cartridge - Based PCR,12/31/22
Region 3,Nueva Ecija,Cabanatuan City,Next Gen PCR Diagnostic Laboratory,PRIVATE,rRT PCR,12/31/22
Region 4A,Quezon,Lucena City,Lucena United Doctors Hospital and Medical Center,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 4A,Cavite,Imus City,City of Imus Molecular Laboratory,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 4A,Laguna,Sta. Rosa City,Qualimed Hospital Sta. Rosa,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 4A,Laguna,San Pablo City,Laguna Provincial Hospital - San Pablo District Hospital,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 4A,Laguna,Municipality of Los Baños,UPLB Covid-19 Molecular Diagnostic Laboratory,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 4A,Batangas,Batangas City,Philippine Red Cross- Batangas Chapter Molecular Laboratory,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 4A,Batangas,Lipa City,Mary Mediatrix Medical Center,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 4A,Batangas,Tanauan City,Daniel O. Mercado Medical Center,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 4A,Laguna,San Pablo City,San Pablo Colleges Medical Center,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 4A,Laguna,Calamba City,Calamba Medical Center,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 4A,Quezon,Municipality of Gumaca,"Rakkk Prophet Medical Center, Inc.",PRIVATE,Cartridge - Based PCR,01/01/22 - 12/31/22
Region 4A,Batangas,Batangas City,Batangas Medical Center,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 4A,Batangas,Batangas City,Batangas Medical Center,PUBLIC,Cartridge - Based PCR,01/01/22 - 12/31/22
Region 4A,Laguna,Municipality of Sta. Cruz,"Laguna Holy Family Hospital, Inc.",PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 4A,Rizal,Antipolo City,Fatima University Medical Center Antipolo Corp.,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 4A,Cavite,Dasmariñas City,De La Salle Medical and Health Sciences Institute,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 4A,Cavite,Municipality of Kawit,Stark Molecular Laboratory Inc.,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 4A,Laguna,"City of Sta, Rosa",Sta. Rosa CHO,PUBLIC,Cartridge - Based PCR,01/01/22 - 12/31/22
Region 4A,Batangas,Municipality of Mabini,Mabini Community Hospital,PUBLIC,Cartridge - Based PCR,01/01/22 - 12/31/22
Region 4A,Cavite,General Trias City,GentriMed Molecular Laboratory,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 4A,Laguna,Cabuyao City,"Laguna Holy Family Hospital, Inc - Satellite Molecular Laboratory",PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 4A,Rizal,Antipolo City,Soriano-Leyble Medical and Maternity Hospital,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 4A,Rizal,Antipolo City,Antipolo City Molecular Laboratory,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 4A,Batangas,Lipa City,Ospital ng Lipa,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 4A,Laguna,Cabuyao City,"First Cabuyao Hospital and Medical Center, Inc.",PRIVATE,Cartridge - Based PCR,01/01/22 - 12/31/22
Region 4A,Cavite,Dasmarinas City,City of Dasmarinas Molecular Diagnostic Laboratory,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 4A,Quezon,Municipality of Mauban,Mauban Municipal Health Office Molecular Laboratory,PUBLIC,rRT PCR,01/01/22 - 12/31/22
Region 4A,Laguna,Sta. Rosa City,The Medical City South Luzon,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 4A,Rizal,Municipality of Cainta,Breeze Medical Services,PRIVATE,rRT PCR,01/01/22 - 12/31/22
Region 4A,Batangas,Lipa City,Lipa Medix Medical Center,PRIVATE,Cartridge - Based PCR,01/01/22 - 12/31/22
Region 4A,Cavite,Bacoor City,"St. Dominic Medical Center, Inc.",PRIVATE,rRT PCR,12/31/22
Region 4A,Laguna,City of Biñan,UPH - Dr. Jose G. Tamayo Medical Center,PRIVATE,Cartridge - Based PCR,01/07/22 - 12/31/22
Region 4A,Quezon,Lucena City,Mount Carmel Diocesan General Hospital,PRIVATE,rRT PCR,12/31/22
