region,province,city,complete_address,owner_ship,name_of_clinic,no._of_station,head_of_the_facility,contact_number,e_mail_address,validity,remarks,mapping_address,lat,lng,current_distance,gmaps_url,index
ILOCOS,ILOCOS NORTE,NaN,"Bonoan St., Brgy. 2, San Baltazar, San Nicolas, Ilocos Norte",PVT,"NEPHROLOGY CENTER OF ILOCOS NORTE DIALYSIS, INC.",12,"Dr. Oliver Nicolas
P. Mabanag","077-
6771923/091205
65956/3512311/3
767148",maureensheyrbacnat@gmail.com,"Jan. 1, 2022 to
Dec. 31, 2024",NaN,"Bonoan St., Brgy. 2, San Baltazar, San Nicolas, Ilocos Norte",18.1739054,120.5926157,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,11.0
ILOCOS,ILOCOS NORTE,Laoag City,"Domingo Samonte corner Z. Flores Streets, Brgy. 6 San Agustin, Laoag City, Ilocos Norte",PVT,ILOCOS KIDNEY PLUS DIALYSIS CENTER,22,Dr. Ofelia Dela Cruz- Datu,"077-
6707720/093991
82814/09473255
074",kidneyplus@yahoo.com.ph,"Jan. 1, 2022 to
Dec. 31, 2024","from 16
(2021)-22
(2022)","Domingo Samonte corner Z. Flores Streets, Brgy. 6 San Agustin, Laoag City, Ilocos Norte",18.2001481,120.5908026,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,12.0
ILOCOS,ILOCOS NORTE,Laoag City,"Karmelli Clinic and Hosptial, #2 Legaspi St., Brgy. 29, Laoag City, Ilocos Norte",PVT,ST. MARTIN DE PORRES RENAL CARE CENTER,16,"Dr. Norman Panfilo
G. Rabago","09178384538/07
7-6003329",NaN,"Jan. 1, 2020 to
Dec. 31, 2022",NaN,"Karmelli Clinic and Hosptial, #2 Legaspi St., Brgy. 29, Laoag City, Ilocos Norte",18.1917783,120.61017,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,13.0
ILOCOS,ILOCOS SUR,NaN,"Sitio, Limmansangan North, Narvacan, Ilocos Sur",PVT,RENALTECH DIALYSIS CENTER,11,Dr. Mary Josephine C. Baro�a,"09175970190/09
178190531",NaN,"Jan. 1, 2022 to
Dec. 31, 2024",from 10-11,"Sitio, Limmansangan North, Narvacan, Ilocos Sur",17.463462,120.4933624,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,14.0
ILOCOS,ILOCOS SUR,NaN,"JTC Mall Central, Del Pilar, Tagudin, Ilocos Sur",PVT,LORMA LIFECHECK CLINIC,10,Dr. Mario T. Bautista,"09178673638/07
2-7000600 loc
122/077-
6320293/091786
95641",suzette.baguitan@lorma.org/lifechecktagudin@gmail.com,"Jan. 1, 2022 to
Dec. 31, 2024",renewal,"JTC Mall Central, Del Pilar, Tagudin, Ilocos Sur",16.931514,120.44786,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,15.0
ILOCOS,ILOCOS SUR,NaN,"Las-ud, Tagudin, Ilocos Sur",PVT,TAGUDIN MEDICAL DIAGNOSTIC CENTER,6,Dr. Virginia Mangati,"6741242/091733
92584/077-
6320330/095639
22703",ocsotopiswec@yahoo.com,"Jan. 1, 2022 to
Dec. 31, 2024",renewal,"Las-ud, Tagudin, Ilocos Sur",16.9416088,120.440804,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,16.0
ILOCOS,LA UNION,NaN,"La Union Medical Center, Brgy. Nazareno, Agoo, La Union",PVT,FRESENIUS KIDNEY CARE,12,Dr. Francisco Ontalan Iii,"072-6083827 /
0917-8468046",nephrocare.lumc@fmc-asia.com,"Jan. 1, 2020 to
Dec. 31, 2022",NaN,"La Union Medical Center, Brgy. Nazareno, Agoo, La Union",16.346667,120.364038,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,17.0
ILOCOS,LA UNION,NaN,"Rosario, First Town Mall, Bgry. Concepcion, Rosario, La Union",PVT,AVITUS LA UNION KIDNEY CARE AND DIALYSIS CENTER CORP.,15,Dr. Anne Rhea Selga Dacayanan,9175345111,NaN,"Jan. 1, 2021 to
Dec. 31, 2023",NaN,"Rosario, First Town Mall, Bgry. Concepcion, Rosario, La Union",16.2235251,120.473965,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,18.0
ILOCOS,LA UNION,"San Fernando City, La Union","65 National Hignway, Carlatan, San Fernando City, La Union",PVT,LA-UNION CENTER FOR KIDNEY DISEASES,6,Dr. Maricar Josephine Geronimo,072-6193201,NaN,"July 20, 2020 to
Dec. 31, 2022",NaN,"65 National Hignway, Carlatan, San Fernando City, La Union",16.6347864,120.3190457,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,19.0
ILOCOS,LA UNION,"San Fernando City, La Union","National Highway, Catbangen, San Fernando City, La Union",PVT,AVITUS KIDNEY CARE AND DIALYSIS CENTER CORPORATION,24,Dr. Anne Rea S. Dacayanan,9175345111,avitusolongapo@yahoo.com,"Aug. 13, 2020 to
Dec. 31, 2022",NaN,"National Highway, Catbangen, San Fernando City, La Union",16.6066965,120.3132792,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,20.0
ILOCOS,LA UNION,"San Fernando City, La Union","Bethany Hospital Compd., Widdoes St., Brgy. II, San Fernando, La Union",PVT,FRESENIUS KIDNEY CARE,12,"Dr. Charmaine Joy
M. Almojuela",072-6194792,nephrocare.bethany@fmc-asia.com,"Jan. 1, 2020 to
Dec. 31, 2022",NaN,"Bethany Hospital Compd., Widdoes St., Brgy. II, San Fernando, La Union",16.6142363,120.3175235,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,22.0
ILOCOS,PANGASINAN,NaN,"Quezon Boulevard, Poblacion Sur, Bayambang, Pangasinan",PVT,"ST. VINCENT HEALTHCARE, INC.",10,Dr. Abraham T. Coquia,"075-
6339948/095607
39439/09212873
485/0917508421
2",NaN,"Jan. 1, 2022 to
Dec. 31, 2024","from 8
(2021)- 10
(2022)","Quezon Boulevard, Poblacion Sur, Bayambang, Pangasinan",15.8064295,120.4567476,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,23.0
ILOCOS,PANGASINAN,NaN,"Barangay Bued, Binalonan, Pangasinan",PVT,AVITUS KIDNEY CARE AND DIALYSIS CENTER CORPORATION,18,Dr. Shari Ann Atanacio,"09176237474/09
205870524/0977
8564294/091753
45111/09176537
821",avitusbinalonan004@yahoo.com/avitusolongapo@yahoo.com,"Jan. 1, 2022 to
Dec. 31, 2024",NaN,"Barangay Bued, Binalonan, Pangasinan",16.0353907,120.5879881,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,24.0
ILOCOS,PANGASINAN,NaN,"San Isidro Sur, Binmaley, Pangasinan",PVT,"B. BRAUN AVITUM PHILIPPINES, INC.(new)",12,Dr. Kristine Ynzon Fernandez,9175152631,onofre.lazaro@bbraun.com,"Jan. 23, 2021 to
Dec. 31, 2023",NaN,"San Isidro Sur, Binmaley, Pangasinan",16.0338436,120.2678588,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,25.0
ILOCOS,PANGASINAN,NaN,"18 Romulo Highway, Socony, Bugallon, Pangasinan",PVT,SOCONY MEDICAL GROUP INC.,12,Dr. Elizabeth B. Estoesta,"09178159850/09
205696536/0917
9387316/075-
6003701","soconysmg,inc@gmail
.com","Jan. 1, 2021 to
Dec. 31, 2023",NaN,"18 Romulo Highway, Socony, Bugallon, Pangasinan",15.9701826,120.2178236,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,26.0
ILOCOS,PANGASINAN,NaN,"Solis Street, Brgy. Poblacion, Lingayen, Pangasinan",PVT,AVITUS PANGASINAN DIALYSIS CENTER CORP.,12,"Dr. Carlo Nemesio
B. Trinidad",09175345111 /,avitusolongapo@yahoo.com,"Jan. 1, 2021 to
Dec. 31, 2023",NaN,"Solis Street, Brgy. Poblacion, Lingayen, Pangasinan",14.6268123,120.9776613,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,27.0
ILOCOS,PANGASINAN,NaN,"#133 1/F DoriaBldg., Brgy. Gomez, Malasiqui, Pangasinan",PVT,"INFINI CARE HEALTH SYSTEMS, INC.",8,Dr. Elizabeth B. Estoesta,"09257778641/07
5-
6326941/091232
50038/09753833
374",infinicare_healthsystems25@gmail.com,"Jan. 1, 2022 to
Dec. 31, 2024",renewal,"#133 1/F DoriaBldg., Brgy. Gomez, Malasiqui, Pangasinan",15.901647,120.4144829,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,28.0
ILOCOS,PANGASINAN,NaN,"Quezon Boulevard Ext., Brgy. Poblacion, Malasiqui, Pangasinan",PVT,AVITUS MALASIQUI DIALYSIS CENTER CORP.,8,Dr. Concepcion C. Cabatbat,"09175345111/04
7-
2221155/091765
37821",avitusolangapo@yahoo.com,"Jan. 1, 2022 to
Dec. 31, 2024",NaN,"Quezon Boulevard Ext., Brgy. Poblacion, Malasiqui, Pangasinan",15.9196191,120.4180244,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,29.0
ILOCOS,PANGASINAN,NaN,"2F Universal Health General Hospital, Brgy. Cabatling, Malasiqui, Pangasinan",PVT,NORTHERN FAITH DIALYSIS CENTER,10,Dr. Irina Rey- Roxas,9278348160,"northernfaithdc@gmail
.com","Mar. 2, 2020 to
Dec. 31, 2022",NaN,"2F Universal Health General Hospital, Brgy. Cabatling, Malasiqui, Pangasinan",15.920594,120.4267595,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,30.0
ILOCOS,PANGASINAN,NaN,"2nd Floor Mendoza Building, Magsaysay Street, Malasiqui, Pangasinan",PVT,EXPERT KIDNEY CARE DIALYSIS CENTER INC.  (new),12,Dr. Michael B. Fernandez,"09277377542/09
395723537",expertkidneycare01@gmail.com,"April 24, 2021 to
Dec. 31, 2023",NaN,"2nd Floor Mendoza Building, Magsaysay Street, Malasiqui, Pangasinan",15.9174334,120.4148771,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,32.0
ILOCOS,PANGASINAN,NaN,"3/F Villasis Polymedic Hospital & Trauma Center, Inc., Zone II, Barangay Poblacion, Villasis, Pangasinan",PVT,NEPHRO ZONE HEALTH CARE,9,Dr. Manuel F. Quirino,"075-
5232590/091598
40456",myalakaline@yahoo.com,"Jan. 1, 2021 to
Dec. 31, 2023",NaN,"3/F Villasis Polymedic Hospital & Trauma Center, Inc., Zone II, Barangay Poblacion, Villasis, Pangasinan",15.8986235,120.5895314,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,33.0
ILOCOS,PANGASINAN,Dagupan City,"Coquia Building, 275 Caranglaan District, Dagupan City, Pangasinan",PVT,"CIPRIANA COQUIA MEMORIAL DIALYSIS AND KIDNEY CENTER, INC.",22,Dr. Abraham T. Coquia,"09175634517/09
277603861/075-
5225586 LOC
804/5157183/093
38526632",macgale@yahoo.com.ph/ccmdkc_billing@yahoo.com.ph,"Jan. 1, 2022 to
Dec. 31, 2024",w/ ClinLab (add-on),"Coquia Building, 275 Caranglaan District, Dagupan City, Pangasinan",16.0222501,120.3456451,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,34.0
ILOCOS,PANGASINAN,San Carlos City,"# 944 Rizal St., 3rd Floor, Pangasinan Doctors Hospital, San Carlos City, Pangasinan",PVT,NEPHROLOGY CENTER OF PANGASINAN DIALYSIS INC.,10,Dr. Elizabeth B. Estoesta,"02-
3767148/092286
36475/6362484",nephro_pangasinan@yahoo.com,"Jan. 1, 2020 to
Dec. 31, 2022",NaN,"# 944 Rizal St., 3rd Floor, Pangasinan Doctors Hospital, San Carlos City, Pangasinan",15.9400752,120.345713,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,35.0
ILOCOS,PANGASINAN,Urdaneta City,"National Highway, Nancayasan, Urdaneta City, Pangasinan",PVT,"HEMOTEK RENAL CENTER, INC.",13,Dr. Michael V. Fernandez,"075-
6530816/536109
1/5293187/20408
99",hemotekurdaneta@yahoo.com,"Jan. 1, 2022 to
Dec. 31, 2024",NaN,"National Highway, Nancayasan, Urdaneta City, Pangasinan",15.951004,120.5768354,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,36.0
CAGAYAN VALLEY,CAGAYAN,NaN,"Grupo Medical de Dios, Inc., Bulala, Camalaniugan, Cagayan",PVT,"B. BRAUN AVITUM PHILIPPINES, INC.",10,Dr. Maridel O. Gorospe,"0917-8659262 /
0917-8623959",ace_john.vergara@bbraun.com,"Jan. 1, 2020 to
Dec. 31, 2022",NaN,"Grupo Medical de Dios, Inc., Bulala, Camalaniugan, Cagayan",18.2637523,121.6881918,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,37.0
CAGAYAN VALLEY,CAGAYAN,Tuguegarao City,"Luna St., Centro 02, Tuguegarao City, Cagayan",PVT,"B. BRAUN AVITUM PHILS., INC.",15,Dr. Frederick L. Parallag,0917-6536614,edgar.rodriguez@gmail.bbraun.com,"Jan. 1, 2021 to
Dec. 31, 2023",NaN,"Luna St., Centro 02, Tuguegarao City, Cagayan",17.613327,121.7177543,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,38.0
CAGAYAN VALLEY,CAGAYAN,Tuguegarao City,"3/F Cagayan United Doctors Medical Center, Bagay Rd., Caritan Centro, Tuguegarao City",PVT,"B. BRAUN AVITUM PHILIPPINES, INC. (new)",15,Dr. Frederick L. Parallag,9176536614,ace_john.vergara@bbraun.com,"Dec. 16, 2021 to
Dec. 31, 2023",NaN,"3/F Cagayan United Doctors Medical Center, Bagay Rd., Caritan Centro, Tuguegarao City",17.6241129,121.7210359,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,39.0
CAGAYAN VALLEY,CAGAYAN,Tuguegarao City,"2nd Floor, MYL Building, Buntun Highway, Tuguegarao City, Cagayan",PVT,"SAN BENEDICTO RENAL CARE CENTER, INC.",12,Dr. Rema G. Caronan-Parallag,"0995-2788450 /
0917-6293720",sanbenedictorenalcare@gmail.com,"Feb. 20, 2020 to
Dec. 31, 2022",NaN,"2nd Floor, MYL Building, Buntun Highway, Tuguegarao City, Cagayan",17.6134487,121.6937895,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,40.0
CAGAYAN VALLEY,CAGAYAN,Tuguegarao City,"Pan Philippine Highway cor. Mercedes Village, Pengue, Tuguegarao City",PVT,"ST. THERESA DIALYSIS CENTER, INC.",15,Dr. Isabelle Delos Santos,0977-8198340,clinicalmanager_corporateoffice@yahoo.com,"Dec. 16, 2020 to
Dec. 31, 2022",NaN,"Pan Philippine Highway cor. Mercedes Village, Pengue, Tuguegarao City",17.6004608,121.7571974,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,41.0
CAGAYAN VALLEY,ISABELA,NaN,"APC Building, Anao, Cabagan, Isabela",PVT,"SAINT MARY KIDNEY CARE, INC.",17,Dr. Edmund C. Bautista,0977-8198340,clinicalmanager_corporateoffice@yahoo.com,"Aug. 13, 2020 to
Dec. 31, 2022",NaN,"APC Building, Anao, Cabagan, Isabela",17.4271055,121.7779551,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,42.0
CAGAYAN VALLEY,ISABELA,NaN,"Do�a Syquia St., Brgy. Bantug, Roxas, Isabela",PVT,"B. BRAUN AVITUM PHILIPPINES, INC.",12,Dr. Erika Bianca Villazor-Isidro,"5885600 / 035-
5885668",NaN,"Jan. 1, 2022 to
Dec. 31, 2024",NaN,"Do�a Syquia St., Brgy. Bantug, Roxas, Isabela",17.1177818,121.6165862,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,43.0
CAGAYAN VALLEY,ISABELA,NaN,"Lea�o Bldg., National Highway Brgy. 03, San Mateo, Isabela",PVT,"SAN MATEO KIDNEY CARE AND DIALYSIS CENTER, INC",6,Dr. Kristen Ann C. Manalo,0905-0322104,sanmateokidneycare@yahoo.com,"Jan. 1, 2022 to
Dec. 31, 2024",NaN,"Lea�o Bldg., National Highway Brgy. 03, San Mateo, Isabela",16.8767261,121.5940773,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,44.0
CAGAYAN VALLEY,ISABELA,Cauayan City,"#25 Rizal Ave., District III, Cauayan City, Isabela",PVT,"CAUAYAN CITY RENAL CARE SERVICES, INC.",10,Dr. Omega M. Biton,078-6521834,cauayancityrenalcareservices@gmail.com,"Dec. 4, 2020 to
Dec.31, 2022",NaN,"#25 Rizal Ave., District III, Cauayan City, Isabela",16.9380102,121.7740522,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,45.0
CAGAYAN VALLEY,ISABELA,Cauayan City,"Rosemary Reyes St., District 1, Cauayan City, Isabela",PVT,"CURIS HEMODIALYSIS CLINIC, INC.",12,Dr. Juvelon G. Mendoza,"0905-7944561 /
0945-3724989",curismediply@gmamil.com/curisdialysis@gmail.com,"July 27, 2020 to
Dec. 31, 2022",NaN,"Rosemary Reyes St., District 1, Cauayan City, Isabela",16.931785,121.7696346,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,46.0
CAGAYAN VALLEY,ISABELA,Cauayan City,"#8 Rizal Avenue, Cauayan City, Isabela",PVT,"DCCI-DIALYSIS CENTER OF CAUAYAN, INC.",10,Dr. Glenn R. Butuyan,"0915-5364940 /
0961-2466620",dialysiscenterofcauayan@gmail.com,"Jan. 7, 2020 to
Dec. 31, 2022",NaN,"#8 Rizal Avenue, Cauayan City, Isabela",16.9398584,121.7742433,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,47.0
CAGAYAN VALLEY,ISABELA,Cauayan City,"Cauayan District Hospital, Rosemarie Reyes St., Cauayan City, Isabela",PVT,"MSR HEALTH CARE, INC.",10,Dr. Erika Bianca S. Villazor-Isidro,0906-5444924,NaN,"Jan. 1, 2021 to
Dec. 31, 2023",NaN,"Cauayan District Hospital, Rosemarie Reyes St., Cauayan City, Isabela",16.9185932,121.7683614,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,48.0
CAGAYAN VALLEY,ISABELA,City of Ilagan,"GFNDSMH Hospital, Calamagui 2nd, City of Ilagan, Isabela",PVT,"MSR HEALTH CARE, INC.",10,Dr. Marissa M. Mamate,"02-5501489/0906-
5444924",msrdialysis@gmail.com,"Jan. 1, 2022 to
Dec. 31, 2024",NaN,"GFNDSMH Hospital, Calamagui 2nd, City of Ilagan, Isabela",17.1263357,121.8591075,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,49.0
CAGAYAN VALLEY,ISABELA,Santiago City,"De Vera's Medical Center, City Road, Calao East, Santiago City, Isabela",PVT,"B. BRAUN AVITUM PHILS., INC.",9,Dr. Elenwhite Caras-Luna,"0917-5153645 /
0917-8623959",ace_john.vergara@bbraun.com,"Jan. 1, 2020 to
Dec. 31, 2022",NaN,"De Vera's Medical Center, City Road, Calao East, Santiago City, Isabela",16.6949365,121.5541208,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,50.0
CAGAYAN VALLEY,ISABELA,Santiago City,"JK Bldg., 68 Maharlika Highway, Villasis, Santiago City, Isabela",PVT,"ISABELA KIDNEY CARE DIALYSIS CENTER, INC.",8,Dr. Kristen Ann C. Manalo,"078-3055520 /
0917-4669565",NaN,"Jan. 1, 2021 to
Dec. 31, 2023",NaN,"JK Bldg., 68 Maharlika Highway, Villasis, Santiago City, Isabela",16.6871645,121.5445531,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,51.0
CAGAYAN VALLEY,ISABELA,Santiago City,"Villasis, Santiago City, Isabela",PVT,"SANTIAGO CITY KIDNEY CENTER, INC.",12,"Dr. Glenn R. Butuyan, FPCP, FPSN",078-3052064,sckci@yahoo.com,"Jan. 1, 2021 to
Dec. 31, 2023",NaN,"Villasis, Santiago City, Isabela",16.6908238,121.5534129,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,52.0
CAGAYAN VALLEY,ISABELA,Santiago City,"AMF Bldg., Bayaua St., Centro East, Santiago City, Isabela",PVT,"SANTIAGO CITY RENALCARE SERVICES, INC.",15,Dr. Omega Malillin- Biton,0917-5628901,renalcare.stgo@gmail.com,"Jan. 1, 2021 to
Dec. 31, 2023",NaN,"AMF Bldg., Bayaua St., Centro East, Santiago City, Isabela",16.6904953,121.548663,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,53.0
CAGAYAN VALLEY,ISABELA,Santiago City,"Arellano St., Dubiran East, Santiago City, Isabela",PVT,UKARE ADVANCE DIALYSIS CENTER,10,"Dr. Diezi Belinda
A. Ramos",0933-8789345,ukareadvancedialysis@gmail.com,"Jan. 1, 2020 to
Dec. 31, 2022",NaN,"Arellano St., Dubiran East, Santiago City, Isabela",16.6901386,121.5419957,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,54.0
CAGAYAN VALLEY,NUEVA VIZCAYA,NaN,"National Highway, Banganan, Aritao, Nueva Vizcaya",PVT,JPF RENAL CARE CENTER,8,"Dr. Kaye Kristine
P. Estiandan, FPCP, DPSN",0977-2934617,none,"Feb. 3, 2020 to
Dec. 31, 2022",NaN,"National Highway, Banganan, Aritao, Nueva Vizcaya",16.300437,121.0478433,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,55.0
CAGAYAN VALLEY,NUEVA VIZCAYA,NaN,"Nueva Vizcaya-Ifugao- Mountain Province Road, Brgy. Lantap, Bagabag, Nueva Vizcaya",PVT,"B. BRAUN AVITUM PHILIPPINES, INC.",15,Dr. Rubylaine Grace G. Par-Pinoy,0917-5152631,NaN,"Jan. 1, 2022 to
Dec. 31, 2024",NaN,"Nueva Vizcaya-Ifugao- Mountain Province Road, Brgy. Lantap, Bagabag, Nueva Vizcaya",16.6282075,121.2346653,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,56.0
CAGAYAN VALLEY,NUEVA VIZCAYA,NaN,"National Hi-way, Bonfal Proper, Bayombong, Nueva Vizcaya",PVT,"VIZCAYA NEPHROCARE DIALYSIS CENTER, INC.",12,Dr. Rubylaine Grace P. Pinoy,"078-
3921841/091756
46444",NaN,"Jan. 1, 2021 to
Dec. 31, 2023",NaN,"National Hi-way, Bonfal Proper, Bayombong, Nueva Vizcaya",16.5040397,121.1796292,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,57.0
CAGAYAN VALLEY,NUEVA VIZCAYA,NaN,"79 Burgos St., Solano, Nueva Vizcaya",PVT,VIZCAYA KIDNEY CARE CENTER COOPERATIVE,3,Dr. Ruby Cheryl C. Menia,078-3267051,NaN,"Jan. 1, 2021 to
Dec. 31, 2023",NaN,"79 Burgos St., Solano, Nueva Vizcaya",16.5144086,121.1808102,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,58.0
CENTRAL LUZON,BATAAN,NaN,"Barangay Wawa, Limay, Bataan",PVT,LIMAY DIALYSIS CENTER,10,Edmundo M Pasamba,"09175762795/09
999945495/0920
9161386",NaN,"Aug. 17, 2020 to
Dec. 31, 2022",NaN,"Barangay Wawa, Limay, Bataan",14.5617427,120.5985941,Click the compass to find out!,https://www.google.com/maps/dir/?api=1,59.0
